combined_title,release_year,release_date,is_top10,title,season,is_tv_show,tconst,titleType,originalTitle,isAdult,startYear,endYear,runtimeMinutes,genres,_merge
Business Proposal: Season 1,2022,20220301,True,business proposal,1,True,,,,,,,,,left_only
Børning 3: Asphalt Burning,2020,20201014,False,børning 3: asphalt burning,,False,,,,,,,,,left_only
Cable Girls: Season 5,2020,20200214,True,cable girls,5,True,,,,,,,,,left_only
Café Minamdang: Season 1,2022,20220627,True,café minamdang,1,True,,,,,,,,,left_only
Café con aroma de mujer: Season 1,2021,20210510,True,café con aroma de mujer,1,True,,,,,,,,,left_only
Capitani: Season 1,2021,20210211,True,capitani,1,True,,,,,,,,,left_only
Capitani: Season 2,2022,20220708,True,capitani,2,True,,,,,,,,,left_only
Captain Underpants Epic Choice-o-Rama,2020,20200211,False,captain underpants epic choice-o-rama,,False,,,,,,,,,left_only
Captain Underpants Mega Blissmas,2020,20201204,False,captain underpants mega blissmas,,False,,,,,,,,,left_only
Car Masters: Rust to Riches: Season 2,2020,20200327,True,car masters: rust to riches,2,True,,,,,,,,,left_only
Car Masters: Rust to Riches: Season 3,2021,20210804,True,car masters: rust to riches,3,True,,,,,,,,,left_only
Car Masters: Rust to Riches: Season 4,2022,20220727,True,car masters: rust to riches,4,True,,,,,,,,,left_only
Carlo & Malik: Season 2,2020,20200910,True,carlo & malik,2,True,,,,,,,,,left_only
Carmel: Who Killed Maria Marta?: Limited Series,2020,20201105,False,carmel: who killed maria marta?: limited series,,False,,,,,,,,,left_only
Carmen Sandiego: Season 3,2020,20201001,True,carmen sandiego,3,True,,,,,,,,,left_only
Carmen Sandiego: Season 4,2021,20210115,True,carmen sandiego,4,True,,,,,,,,,left_only
Catherine Cohen: The Twist…? She’s Gorgeous,2022,20220315,False,catherine cohen: the twist…? she’s gorgeous,,False,,,,,,,,,left_only
Cem Yılmaz: Diamond Elite Platinum Plus,2021,20211231,True,cem yılmaz: diamond elite platinum plus,,False,,,,,,,,,left_only
Centauro,2022,20220615,True,centauro,,False,,,,,,,,,left_only
Chad and JT Go Deep: Season 1,2022,20220823,False,chad and jt go deep,1,True,,,,,,,,,left_only
Challenger: Limited Series,2020,20200916,True,challenger: limited series,,False,,,,,,,,,left_only
Chappelle's Home Team - Earthquake: Legendary,2022,20220228,False,chappelle's home team - earthquake: legendary,,False,,,,,,,,,left_only
Charité: Season 3,2021,20210105,False,charité,3,True,,,,,,,,,left_only
Charlie's Colorforms City: Season 5,2022,20220613,True,charlie's colorforms city,5,True,,,,,,,,,left_only
Charlie's Colorforms City: Season 6,2022,20220613,True,charlie's colorforms city,6,True,,,,,,,,,left_only
Charming,2021,20210108,False,charming,,False,,,,,,,,,left_only
Chef's Table: BBQ: Volume 1,2020,20200902,False,chef's table: bbq: volume 1,,False,,,,,,,,,left_only
Chernobyl 1986,2021,20210924,True,chernobyl 1986,,False,,,,,,,,,left_only
Chicago Party Aunt: Part 1,2021,20210917,True,chicago party aunt: part 1,,False,,,,,,,,,left_only
Chilling Adventures of Sabrina: Part 3,2020,20200124,True,chilling adventures of sabrina: part 3,,False,,,,,,,,,left_only
Chilling Adventures of Sabrina: Part 4,2020,20201231,True,chilling adventures of sabrina: part 4,,False,,,,,,,,,left_only
Chip and Potato: Chip’s Holiday,2022,20220627,False,chip and potato: chip’s holiday,,False,,,,,,,,,left_only
Choked: Paisa Bolta Hai,2020,20200605,True,choked: paisa bolta hai,,False,,,,,,,,,left_only
Christina P: Mom Genes,2022,20220508,False,christina p: mom genes,,False,,,,,,,,,left_only
Circus of Books,2020,20200422,False,circus of books,,False,,,,,,,,,left_only
Clark: Limited Series,2022,20220505,True,clark: limited series,,False,,,,,,,,,left_only
Clickbait: Limited Series,2021,20210825,True,clickbait: limited series,,False,,,,,,,,,left_only
CoComelon: Season 1,2020,20200601,True,cocomelon,1,True,,,,,,,,,left_only
CoComelon: Season 2,2020,20200828,True,cocomelon,2,True,,,,,,,,,left_only
CoComelon: Season 3,2021,20210601,True,cocomelon,3,True,,,,,,,,,left_only
Cocaine Cowboys: The Kings of Miami: Limited Series,2021,20210804,True,cocaine cowboys: the kings of miami: limited series,,False,,,,,,,,,left_only
Code Name: Emperor,2022,20220222,False,code name: emperor,,False,,,,,,,,,left_only
Colin in Black & White: Limited Series,2021,20211029,True,colin in black & white: limited series,,False,,,,,,,,,left_only
Conversations with a Killer: The John Wayne Gacy Tapes: Limited Series,2022,20220420,True,conversations with a killer: the john wayne gacy tapes: limited series,,False,,,,,,,,,left_only
"Coronavirus, Explained: Limited Series",2020,20200426,False,"coronavirus, explained: limited series",,False,,,,,,,,,left_only
Countdown: Inspiration4 Mission to Space: Limited Series,2021,20210906,True,countdown: inspiration4 mission to space: limited series,,False,,,,,,,,,left_only
Coven of Sisters,2021,20210311,True,coven of sisters,,False,,,,,,,,,left_only
Crime Scene: The Times Square Killer: Limited Series,2021,20211229,True,crime scene: the times square killer: limited series,,False,,,,,,,,,left_only
Crime Scene: The Vanishing at the Cecil Hotel: Limited Series,2021,20210210,False,crime scene: the vanishing at the cecil hotel: limited series,,False,,,,,,,,,left_only
Criminal: UK: Season 2,2020,20200916,False,criminal: uk,2,True,,,,,,,,,left_only
